input,output,language,instruction
"बिहार की बदहाली में आज हर वो सरकार ज़िमेदार है जो सत्ता की आड़ में निज़ी व्यापार करते आ रहा है, यदि आज बिहार में फैक्टरियाँ, कारख़ाने होती न तो हमारे लोगों को बाहर जाने की नौबत नहीं आती , आज ये  लोग जो अपने परिवार के भरण-पोषण के लिए मात्र 10 से 15 हज़ार के लिए बाहर भटकते रहते हैं अपनों से दूर ,अपने परिवार रीती-रिवाज़ से वंछित क्या गुज़रता होगा उनपर जब मात्र 10-15 हज़ार के लिए ख़ुद को कुरबान कर देते हैं कोई और राज्य में जाके अगर आज हमारे बिहार में ये साधन होती न तो बेसक हमारा बिहार आज भारत सूचि में फिऱ से सर्वोच्च प्रथम रहता ,हमारे लोगों की आय और रोज़गार अपनी राज्यों के लिए पुनः उद्धार का पर्याय बनती , फ़िर बिहार में वाक़ई बहार होता । आज लगभग 80% अपने बिहार के लोग प्रवासी हैं ,ज़रा अंदाजा लगाइये अगर यही साधन हमारे राज्य में होता तो आज हमारा बिहार एक बार पहले के भाँति फ़िर से विश्व सिरमौर होता। यह ग़हरी चिंता की विषय है। ख़ैर आप लोगों का पहल कारगर तब हीं होगा जब सब लोगों का एक हीं मत हो सिर्फ विकाश और रोज़गार।",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
मैं भगवान को धन्यवाद देता हूँ जिन्होंने सरकार की नाकामी उजागर करने की आपको शक्ति दी है।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kaun gaaon k hai aap? Hilsa taraf k hai kya?,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Dil jhakjhor diye..aur TVF aur TPS me nhi lautenge kya.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
E song hit chal jaito....pakka ..🎉🎉,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
||भईया आप लोग बढ़िया विडियो बना रहे हैं लेकिन जातीवाद  कभी  ख़त्म नहीं हो पायेगा यही सच्ची बात है...|| मेरे तरफ से फुल सपोर्ट हैं||,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
तो एक और invention होगा की लोग बिना खाये ही जीवन जी सकेंगे।  रोजगार की जरूरत भी नही होगी। अच्छे दिन आ गए।,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"Ye bhaiya😂,ye bhaiya😂😂😂😂, sahi h👍",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kya ham aap se mil sakte hay?,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Patna ka selection rate iit and medical m bahut km  So 2-3 golden year soch samajh kar hi brdad karo  Nahi to ghanta hilao ge,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
sala fake hai,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
खान सर से जरूर मिलिए। हम लोग आपके साथ हैं,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Dil diya h Jan bhi denge 😂😂😘,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
Thanks for supporting student #modi_rojgar_do,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
Magahi pure patna mein boli jaati hain... I am from patna... Punpun.. Parsa.. Pothahi.. Masaurhi.. Sab jagah magahi boli jaati hain,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhaiya ham chate h ki aap IAMON Indian social media pe ek video jarur banaye .,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"क्या यह संगीत संध्या, regular आ रही हैं? आज मजा आगया😀, धन्यवाद",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
विश्वाजीत भईया और युगल भईया ये से अच्छा संदेश दिया आप दोनों भईया को चरणों में सादर प्रणाम 🙏🙏🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Dekho bhai ek bar Shrimad bhagwad gita padh lo eska baad jo yudh kar raha hai tab yudh karna,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Fir se promotional video... Dosto unsubscribe karlo chanel ko kyuki ye sirf promotion karke paise kamae ga. Ye chanel pe ye maghi aur entertainment ke nam pe logo ko joda tha par ab sirf promotional videos.,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"थोड़ा और हिम्मत दिखाओ और रणवीर सेना, करणी सेना, परशुराम सेना, सवर्ण सेना पर भी वीडियो बनाओ।  ये सभी सेना तुम्हारे बाप दादाओं ने ही बनाया है।  समाज में जहर घोलने का काम मत करो, आपसी भाईचारे की बात करो। अब तुमलोगों की दोगली राजनीति बहुजन समाज भी समझने लगा है।",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Sb muslaman aese nhi hai yaar wo to mai video dekha YouTube pr Khan sir ke against to usko itna gali diya mai ki bata nhi shakta We stand with Khan sir ❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मगही फिल्म इंडस्ट्री बहुत जरूरी है।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ham sab ke liye khusi ki baat yah hai ki hamre mithila aavaz me yah song bana hai jay hu mithila ☺️❣️ jay shri and sita mata ☺️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बहुत सुंदर छठ गाना हमरा लागल वहां की कहां-कहां है यह नीति का भगवती का छठ का हम सुनाओ और हां क्या मनुष्य आशीर्वाद है,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jaundice to aam problem hai bhai lagbhag 20 Percentage bacche ke sath hota normally treatment bilrubin ko control karke thik ho jata hai turant 24 gahnto me,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
mst lga bhaiya log,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Hum Gopal bhiya se Face -to -face  bat kiye hai Bhagalpur Mai 2017 mai 10-11 am,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Gjb.... Love ❤ from kalkatta... 😃,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Hindi movie par hai ye sajan ka ghar same movie,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
हर हर महादेव।। श्रावण मास की हार्दिक शुभकामनाएं।। जिन कपल ने भाग जाने का प्लान बना रखा हो उन्हें ये वीडियो जरूर देखना चाहिए।। बहुत अच्छा वीडियो बनाया है।।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"VP Bhai.... Engineering k baad admi kuch kr skta h, iska example ap ho bhai.....Mast act of both of u..... Keep it up",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
#postpone Bihar board examination 2021,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Vha kay bat hi nice song,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मेरा बिहार पुलिस बिहार दरोगा दोनों में रिजल्ट है ।और मै बहुत ईमानदारी के साथ एग्जाम दिया ।कोई धांधली मै नहीं किया ।और मै सिर्फ 3 घंटा से ज्यादा नहीं सोता था ।काफी मेहनत किया था । आप मेहनत कीजिए धांधली तो होते रहेगा।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
सरस्वती माँ की आप पर असीम अनुकंपा है आपका गला बहुत अच्छा है गायन क्षेत्र में भी अपनी प्रतिभा का लोहा मनवाईए,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
खान पर गुमान करो और हमेशा ऐसे teacher का सम्मान करो। खान सर जिंदाबाद,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मिथिला के कुछ लोग इंग्लैंड में एक ब्रिज के ऊपर यह गाना गा रहे थे तब मैं यह गाना सुने आया हूं और कौन लोग उसके बाद यह गाना सुनने के लिए यहां आए हैं। बहुत सुंदर 👍 गीत,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Super.mast,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
पुरा भाग डालिए सर जी।। please,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Galat.... Bihar me sabse jyada Maithili boli jati hai.... Bhojpuri up aur bihar ko mila k maithili se jyada ho sakti hai....Maithili ki bahut sari बोलियां hai... Ye bihar Nepal aur Jharkhand aur West Bengal k Malda district me boli jati hai........ Mai aise nhi bol raha hu  ...  Mai Katihar bihar se aata hu.... Aur yahan pe angika aur surjapuri boli jati ye dono maithili ki hi बोलियां hai,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
भैया आप सुनीता यादव पर वीडियो बनाइए प्लीज,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
120 से ऊपर गाड़ी की स्पीड होगी तभी इतना दूर तक गयी है गाड़ी  और भाई साहब इंजीनियर की गलती बोलना आसान है बरसात होता है तो कुछ पानी लग भी गया तो स्पीड थोड़ा मेंटेन करना चाहिए  और थैंक् गॉड की दोनो बच गए,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
सॉरी हम इससे सहमत नहीं हैं,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
आधुनिक कलाम को मेरा सलाम जाति धर्म मजहब से उठकर सच्चाई को साथ देना चाहिए ।खान सर कहना है कि सबसे पहले मेरा देश उसके बाद  इंसानियत उसके बाद मजहब,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
❤️Happy international women's day🫀       🫀  मां से बड़ा इस संसार में और कोई नही है। 🌹🌼🌼🌼🌼🌼🌼🌻🌻🌻🌻🌻🌻🌻           🤗🤗     मां से ही दुनिया है❤️❤️❤️❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिहारी का जो मजाक बनाता है, उसके जवाब में एक दमदार वीडियो बनाएं।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kya agar hamlog ko jaruri ho emergency to aims delhi me jane ke lite help kar sakte hai  reply,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
sab se achha Apan mithali Geet. Jai Maa Janaki,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आप  ‌‌सभी🙏 मां सरस्वती जी कसम आप सब्सक्राइब करेंगें  मैं बहुत गरीब student‌ हूं 😭😭😭 please आप मदद करीए ❤️ https://youtu.be/48rhoSfliSQ Motivation video hai 😭😭🙏🙏 भैया प्लीज मदद करिए मैं बहुत गरीब हूं आपके एक सब्सक्राइब  किसी गरीब परिवार student‌ का जीवन  बन सकता है 🙏 😭😭😭https://www.youtube.com/channel/UCPwhKpOK0HX5slOiQ_BKg-Q ओम् नमः शिवाय 🌹 जय श्री राम 🌹 🙏🙏 आप पर पूर्ण विश्वास है राधे-राधे🙏🙏🙏🙏😭😭🌷🌹🌹🙏😭🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
इस विडियो के माध्यम से आपने तिरंगा फहराने का संदेश दिया है। बाकी आपके इस विडियो कंटेंट next level h और social media haindal's पर Shere भी किया हूं।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
विश्वजीत भाई भूंजा अपने बिहार के साथ यूपी में भी लोकप्रिय है वहाँ लोग उसको दाना कहते हैं।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बड़का चैनल बन जयेते मगधी ब्वॉयज चैनल अच्छा वीडियो बनाबा हूं तू,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sab koi na koi channel ko pakad rha hai apne publicity ke liye....,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Chacha to pura sutta phoonk rahe the rabish ki report me😂,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai Hind 🇮🇳 vande matram 🚩🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Omom om,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
सरस्वती पूजा के शुभ अवसर पर आप सभी को हार्दिक-हार्दिक शुभकामनाएं,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
open rally kaha per hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मैथिली भाषा कै गीत-संगीत मुझे अति सून्दर लगा।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Mere yaha ka co bdo bhut ghus leta h...even jb ham residential caste aur income banwane jate h usko v paisa lagta h...block m broker bhut jyada h,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
India team ka kami mahsus ho raha hai bhai.jai hind 🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai Kali,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
इतिहास गवाह रहेगा कि भारत की सबसे अमीर औरत यदि किसी से डरती है तो वह है।  CSK MSD 💛,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
नितीश कुमार और बीजेपी हटाओ बिहार बचाओ इन दोनों ने मिलकर बिहार को बर्बाद कर दिया है.😭😭,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Dhanyawad bhaiya  Itna saralta se kathin baton ko kehne  liye alag tallent hai aap dono me Salute ur creativity team,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"उन गरीब परिवार पर भी वीडियो बनाइए जिनके पास बेटी की शादी करने का पैसा नहीं है वह कहां से टेंट,डीजे , पंडित के साथ लोगों को भोज खिलाएगा धन्यवाद",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Gobind ji maharaj ki jai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
श्वेता -वह बंदा पंडित है ठीक है  पब्लिक -फिर आगे क्या हुआ 111* other -  जितना मिल रहा है उतने में खुश रहो,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai  Mata  Di,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
joy mata di,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"हाँ,खुशी भी है भारतीय क्रिकेट में उनके योगदान को लेकर पर  दु:ख भी है,, जब भी मैच निर्णायक दौर में होगा तब तब धोनी याद किये जायेंगें।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhai dil ko chu liya tum logo ne. Now I miss Bihar.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"अद्भुत! मैं भी आपके विचारों, परिकल्पनाओ , बिहार के लिए समर्पण का सम्मान करता हूँ, शुभकामनायें ।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ham pahunch ke taiyar hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
एक बार अरवल में भी आओ भाइ .और यहाँ के बारे में भी लोगों को कुछ बताओ,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kon kon maithili song ko pasand karte ho please like taki pata to chale 💎💎💎💎💎💎💎💎👍👍👍👍👍👍👍🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹💕💕💕💕💕💕💕💕💕💕,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
ram vivaha gana metheli mei,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
App koti koti pranam Vai🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🇮🇳🇮🇳🇮🇳,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sadd chuka h Bihar aur Bharat dono ki aatma......,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"अगर बिहार को सुधारना है तो इसके चिकित्सा व्यवस्था (हेल्थ सिस्टम) को सबसे पहले  सुधारना होगा नीतीश बाबू।  जागो सरकार, जागो।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"जब तक बिहार प्रतियोगी परीक्षा में क्वेश्चन बिकेगा तो पुलिस के भेष में गुंडा हीं होगा,",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhai mere se bat kro video banvani thi,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Guru ek aaur video Anand Mohan ji pe,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"I stand with Khan sir  Sir ap apne statement me bane rahiyega, hum log apke sath jain",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Super se bhi uper jai baba karik maharaj ki jay jay,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
भईया जो आप कर रहे हैं शायद ही कोई कर रहा हैं और करेगा हमसब बेरोजगारो को साथ देने के लिए दिल से धन्यवाद  और हाँ साथ आप के टैलेंट को भी इग्नोर नही कर सकते  .. भइया मेरे को आपसे मिलना हैं मैं जहानाबाद से ही हु पल्ज़ज़्ज़,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बीजेपी वाले देश को बर्बाद कर देगा       राजीव प्रताप रूडी जैसे आदमी बिहार को बर्बाद कर रहा है,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
हर ख़ानदान मे कोई एक होता है जो गरीबी रेखा को पार करके आगे चला जाता है। भगवान करें कि वो आप के खानदान मे वो आप हो !🙏🙏🙏🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
भाषा की मर्यादा 💐 Tweet करेंगे ज़्यादा 🔥🔥 नही चाहिए झूठा वादा ❌ अटल है हमारा इरादा 💪💪 #SpeakUpForSSCRailwaysStudents #SSCdeclareCGLresults,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
बहुत मेहनत से आप सभी के लिए वीडियो बनता हूँ किरप्या कमैंट्स जरूर करें और वीडियो को लाइक एंड शेयर करें साथ हि चैनल को सब्सक्राइब भी कर ले | I need your support... Thanks a lot for watching 🙏🙏🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
नीतीश कुमार के गांजा पिए में महारत हासिल है हमेशा भुई रहते है काला चश्मा लगाके।😂😂😂,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"kya bat hai bhaiya, ap to actor v kmal k hain, dil jit liye ap to 🤘🤘😄😄😘😘❤️❤️",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Nice song ...samaj me Jo ho Raha hai..uska Pura film dikha diye ...❤️❤️🔥🔥,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
*जिस तरह शिक्षा का व्यवसायीकरण हो रहा है पढ़ते पढ़ते जितने रुपये खर्च हो जाते हैं बहुतों को तो उतना कमाने में ही मुश्किल हो जाती है*,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"#one'day u will Rock Bihar का ये लाल आज न कल सितारा बनके उभरेगा जरुर, बिहार में अब एक बार भोजपुरी की दुनियां से हटके इस ओर आना है 🙏 Full support bhaiyajii,plzshare it to optimum levels ❤️❤️",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Name modi Kam bakchodi🤣🤣🤣,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"भैया कभी मेरे गांव में भी आइए, बहुत समस्या हैं, यहाँ  आपके आने से सायद सुधर जाए  विश्वजीत भैया और युगल भैया आपका स्वागत हैं🙏🙏🙏🙏",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
12:13  and 13:43 Nawada se hai 😍😍 Love from Nawada bhaiya,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Indan army हमारे देश का शान है और रहेगा और हमारे देश में एक भीम army है जो army  का नाम बदनाम कर रहा है और अभी इस पे नही बोलेगा कियू कि ,,,,,,,",mix,hindi,Classify the given article as either positive or negative or mix sentiment.
jio sir,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sala bihar police wala  jab apne sathi ko na dundh pa raha hai to log ka help karega bihar police,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
जय सनातन 🙏🙏🙏🙏🙏 हर हर महादेव,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आपका वीडियो बहुत की कमाल के होते हैं 😍,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
JaI Ho... LoVe FrOm ARA JILLA❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai ho himanshu babu,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Opposition ke pass abb oppose karne ke liye kuch nahi bacha hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
अति सुन्दर जय मिथिला जय मैथिली 🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai Magadh 🔥 जय बिहार 🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
एक नया मुहावरा बन गया 😊 - मुहावरा-  एंबुलेंस से तिरपाल हटाना अर्थ- जेल जाना,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay ho Bihari jee ki,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
bahut sara pyar bhiya rajgir se❤️🤘,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
effort acha tha par bat nhi bani bhai,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Gopal jee thank you. Gaya ke Manpur village se IITian likalte h uspr video bnaiye.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मिथिला की संस्कृति सबसे पवित्र है और झिझिया song में सभी कलाकारों को बहुत बहुत धन्यवाद और जो इन सभी कलाकारों को ट्रेंड किए उनको भी बहुत बहुत धन्यवाद ❤ गजब का संस्कृत और ट्राइलेंट❤❤,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Yahi haal Railway exam ka bhi hai.. har zone ka alag alag paper hone se bahut pareshani hoti hai,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai maa Shera wali ki 🙏🙏🙏🙏🙏🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"#JusticeforNikita 🙏 #JusticeforMungervictims 🙏  Munger kand .... 30 se jyada log badly ghayal , 22 sal k bchhe ka brain far Diya gya , 12 sal k bchhe k pet mein ched ho gya , Ek uncle ka ghutna far Diya gya ....",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
काश भोजपुरी भी साउथ मूवी मराठी मूवी की तरह अपना अश्लीलता छोड़ कर भोजपुरी को आगे बढ़ाता। धन्यवाद आप लोगो को,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
भैया दिल से सैल्यूट है आप लोगों को मघई बॉयज जिंदाबाद छात्र एकता जिंदाबाद,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Har har mahadev 🌍🌛🌕🌗,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
जाति जनगणना का विरोध.... बहुत अच्छे!  कभी डोमबा बस्ती में गये हो..... कभी मुसहर बस्ती में गयेे हो........ नहीं गए होगे.. क्योंकि बद्बू आती है| समरस समाज के ठेकेदारो..... माउन्टेन मैन दशरथ मांझी के परिवार के स्थिति का वीडियो कभी बनाये हो... नहीं बनाये हो और नहीं बनाओगे,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"धन्यवाद,,,Expose media & विकास भाई के माध्यम से तारीफे_ए _काबिल, वेब सीरीज<बसंतपुर डायरी>  देखने को मिला, बहुत सराहनीय सीरीज हैं, मगधी ब्वॉय के बहुत_बहुत धन्यवाद 🙏,,,,,,, और हा,,,,,,, गठबंधन हम कइनी """"सरकार  ते बनाइबे रे,,,,😂😂😂😂",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Fasi ki saja dena chahiye in sb ko,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Background music bawal hai 👍👍👍,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jholachap govt.,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
ब्लू शर्ट वाले भाई की सलाह ने दिलजीत लिया । 100% सही सलाह,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai mata Di. Sab ko Raksha Karna mata sherobali,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
ऐसी गीत और कहीं सुनने को नहीं मिलता है मिथिला महान,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhai jee app ek video tower installation pe banayee,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Chalo magahi bhaiya achha sandesh diye samaj ko,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Adbhut apurv,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
bhag 1 badme 2 3 4  nhi aarha hai kyau,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
भक्त समझ नही पाएंगे इस वीडियो पर क्या कमेंट करे।,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"अब सरकार कुछ नहीं कर सकती अब हम लोगों को ही सजग रहना है न करवाएंगे क्वेश्चन आउट ना किसी को करने देगे ना , अगर ऐसा कुछ होता है तो अबकी बार सीधे बार सरकार पर करें, कोई रोड जाम नहीं कोई चक्का जाम नहीं। जब हम लोगों का कोई अस्तित्व ही नहीं रहेगा तो सरकार क्या करेगी रहकर , ऐसे भी यह सरकार से तंग आकर हम लोग बर्दाश्त से बाहर हो चुके हैं। इसलिए आप हम लोग सहेंगे नहीं चाहे जो भी हो। जय बिहार, जय भारत।",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Ha ha😆 ha  maja aa gaya,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
विश्व जीत भैया आप का यह वीडियो बहुत अच्छा है इंडिया में परीक्षा का यही हाल है।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"अद्भुत भाई ,छा गए हो । Love u bro❤️❤️❤️❤️",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
अति सुन्दर गाना है मिथिला इसको और आगे बढ़ाइए,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Aapka aawaaz bhut achha h bhaiya jee...,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"ये तो बात सही है , आप कहीं पे भी देख लीजिए किसी भी field मैं हर जगह पैसा पे ही सब कुछ होता है,जिसके पास पैसा नहीं है उसका टैलेंट उसको कुछ नहीं कर पाएगा,टैलेंट के साथ पैसा भी जरूरी है 👍👍",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
वाह वाह... 😀,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bahut badiya bhaiya students ke shath dene ke liye.. thanks 🙏🙏🙏🙏🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kashmir files par video banaey 😊😊,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
vishwa ji aap to bole the ki magadhi boys ke tale vishwa najar nhi aega.. aapke aane se koi dikkat nhi lekin.. jugla ji ki rhea chakarworthy wale byan ko aap v support krte hn.. kuchh aisa hi lg rha,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Mai Nepal se hu aur meri matri bhasa Bajjika hai ❤,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Hamare sath bhi hone se aisa bach gya 4 months pahle,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Please hara dena afgan bhaiyon 🙏🙏🙏🙏 god please help to them,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai baba,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"song ,voice ,story teeno ka combination.😍 kya baat hai 🤗 or aap itna smart kaise lgre bhaiya hum log ko bhi tips dijiye 😁",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay Govind Baba ji,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay Govind Maharaj ki Jay,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai mithila jai maithili,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"मुश्किलों का आना ,  Part Of Life है ....   और   उनमें से हंस कर बाहर आना ,       Art Of Life है..... :)khan sir",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Super se bhi uper song,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bachpan ka yaad dila diya yaar Chup Chup ke dekhne Jaya karte the mom dad sone ke baad,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Wah sir ji bahut sundar,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Waah bhaiyo,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kal se waiting kar rahe the 👌👌👌👌,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Mujhe wo din yad hai jb 1-2k sub se channel start hua tha . Aj 100k honev wala h.. Congrats🥳,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
pura bag daliye,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai Mata Di,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
